experiment,model,test_set,accuracy,macro_P,macro_R,macro_F1,weighted_P,weighted_R,weighted_F1
aug-cutmix,cct_14_7x2_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-cutmix,cct_14_7x2_224,PlantDoc_Test,0.27,0.30,0.25,0.23,0.32,0.27,0.25
aug-cutmix,efficientnet_b0,PV_Test,1.00,0.99,1.00,1.00,1.00,1.00,1.00
aug-cutmix,efficientnet_b0,PlantDoc_Test,0.22,0.18,0.22,0.17,0.20,0.22,0.17
aug-cutmix,maxvit_base_tf_224,PV_Test,0.99,0.98,0.98,0.98,0.99,0.99,0.99
aug-cutmix,maxvit_base_tf_224,PlantDoc_Test,0.34,0.41,0.35,0.32,0.42,0.34,0.32
aug-cutmix,mobilenet_v3_small,PV_Test,0.99,0.98,0.99,0.99,0.99,0.99,0.99
aug-cutmix,mobilenet_v3_small,PlantDoc_Test,0.16,0.16,0.16,0.12,0.17,0.16,0.12
aug-cutmix,swin_base_patch4_window7_224,PV_Test,1.00,1.00,0.99,1.00,1.00,1.00,1.00
aug-cutmix,swin_base_patch4_window7_224,PlantDoc_Test,0.37,0.38,0.36,0.32,0.40,0.37,0.33
aug-cutmix,vit_base_patch16_224,PV_Test,0.98,0.97,0.97,0.97,0.98,0.98,0.98
aug-cutmix,vit_base_patch16_224,PlantDoc_Test,0.31,0.35,0.31,0.29,0.35,0.31,0.28
aug-cutmixup,cct_14_7x2_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-cutmixup,cct_14_7x2_224,PlantDoc_Test,0.31,0.31,0.30,0.25,0.33,0.31,0.26
aug-cutmixup,efficientnet_b0,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug-cutmixup,efficientnet_b0,PlantDoc_Test,0.22,0.19,0.21,0.16,0.20,0.22,0.17
aug-cutmixup,maxvit_base_tf_224,PV_Test,0.98,0.98,0.98,0.98,0.98,0.98,0.98
aug-cutmixup,maxvit_base_tf_224,PlantDoc_Test,0.31,0.34,0.32,0.27,0.36,0.31,0.28
aug-cutmixup,mobilenet_v3_small,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-cutmixup,mobilenet_v3_small,PlantDoc_Test,0.17,0.16,0.18,0.14,0.16,0.17,0.15
aug-cutmixup,swin_base_patch4_window7_224,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug-cutmixup,swin_base_patch4_window7_224,PlantDoc_Test,0.34,0.43,0.35,0.32,0.43,0.34,0.32
aug-cutmixup,vit_base_patch16_224,PV_Test,0.98,0.97,0.96,0.97,0.98,0.98,0.98
aug-cutmixup,vit_base_patch16_224,PlantDoc_Test,0.32,0.41,0.31,0.28,0.41,0.32,0.29
aug-gaussian-blur-only,cct_14_7x2_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-gaussian-blur-only,cct_14_7x2_224,PlantDoc_Test,0.35,0.30,0.35,0.29,0.32,0.35,0.30
aug-gaussian-blur-only,efficientnet_b0,PV_Test,pending,pending,pending,pending,pending,pending,pending
aug-gaussian-blur-only,efficientnet_b0,PlantDoc_Test,pending,pending,pending,pending,pending,pending,pending
aug-gaussian-blur-only,maxvit_base_tf_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-gaussian-blur-only,maxvit_base_tf_224,PlantDoc_Test,0.30,0.35,0.29,0.27,0.37,0.30,0.28
aug-gaussian-blur-only,mobilenet_v3_small,PV_Test,0.99,0.98,0.99,0.98,0.99,0.99,0.99
aug-gaussian-blur-only,mobilenet_v3_small,PlantDoc_Test,0.17,0.24,0.17,0.15,0.26,0.17,0.16
aug-gaussian-blur-only,swin_base_patch4_window7_224,PV_Test,1.00,1.00,1.00,1.00,1.00,1.00,1.00
aug-gaussian-blur-only,swin_base_patch4_window7_224,PlantDoc_Test,0.36,0.46,0.36,0.33,0.47,0.36,0.33
aug-gaussian-blur-only,vit_base_patch16_224,PV_Test,0.98,0.97,0.97,0.97,0.98,0.98,0.98
aug-gaussian-blur-only,vit_base_patch16_224,PlantDoc_Test,0.27,0.28,0.27,0.23,0.30,0.27,0.23
aug-mixup,cct_14_7x2_224,PV_Test,0.99,0.99,0.99,0.99,0.99,0.99,0.99
aug-mixup,cct_14_7x2_224,PlantDoc_Test,0.29,0.32,0.27,0.25,0.33,0.29,0.26
aug-mixup,efficientnet_b0,PV_Test,0.99,0.98,0.99,0.98,0.99,0.99,0.99
